state,district,year_x,crop,season,area,production,yield,year_y,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual,year_num,season_temp_avg,season_humidity_avg,season_rainfall_mm,season_wind_speed,season_soil_temp,season_soil_moist,annual_temp_avg,annual_humidity,annual_rainfall_mm,annual_wind_speed,annual_soil_temp,annual_soil_moist
Tamil Nadu,Vellore,1997 - 1998,Arhar/Tur,Whole Year,9822,3930.0,0.4,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Bajra,Whole Year,1511,2080.0,1.38,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Banana,Kharif,4121,137719.0,33.42,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,29.1713373655914,61.579603494623655,413.6,11.125551075268817,30.754971998207886,0.2348335461469534,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Banana,Whole Year,8661,309930.0,35.78,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Cashewnut,Whole Year,22,20.0,0.91,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Castor seed,Whole Year,198,70.0,0.35,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Coriander,Whole Year,37,10.0,0.27,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Cotton(lint),Whole Year,10385,12640.0,1.22,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Dry chillies,Whole Year,405,180.0,0.44,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
Tamil Nadu,Vellore,1997 - 1998,Gram,Whole Year,53,20.0,0.38,1997,24.0,25.6,28.5,30.5,32.3,31.0,30.3,29.4,28.9,27.4,25.9,25.6,28.3,1997,27.027503920250897,68.05224761051375,873.0000000000001,8.467226382488478,28.806357313534733,0.23331102923920463,27.040456621004566,68.07842465753424,873.0,8.488561643835617,28.818070776255706,0.23383299086757992
